Name,Date,Open,High,Low,Close,Adj Close,Volume
AMZN,2020-07-01,2757.98999,3344.290039,2754,3164.679932,3164.679932,127502000
AMZN,2020-08-01,3180.51001,3495,3073,3450.959961,3450.959961,83516600
AMZN,2020-09-01,3489.580078,3552.25,2871,3148.72998,3148.72998,115899300
AMZN,2020-10-01,3208,3496.23999,3019,3036.149902,3036.149902,116226100
AMZN,2020-11-01,3061.73999,3366.800049,2950.120117,3168.040039,3168.040039,90810500
AMZN,2020-12-01,3188.5,3350.649902,3072.820068,3256.929932,3256.929932,77556200
AMZN,2021-01-01,3270,3363.889893,3086,3206.199951,3206.199951,71528900
AMZN,2021-02-01,3242.360107,3434,3036.699951,3092.929932,3092.929932,72107000
AMZN,2021-03-01,3127.889893,3182,2881,3094.080078,3094.080078,78188000
AMZN,2021-04-01,3117.939941,3554,3115.550049,3467.419922,3467.419922,76839600
AMZN,2021-05-01,3484.72998,3486.649902,3127.370117,3223.070068,3223.070068,75183900
AMZN,2021-06-01,3243.5,3426.350098,3172.199951,3415.25,3415.25,32654700
AMZN,2021-06-16,3392,3426.350098,3360.530029,3415.25,3415.25,4202782
